CaseID,trace,length
1-694794065,"<BOS>, Accepted, Accepted, Accepted, Completed, <EOS>",4
1-694808152,"<BOS>, Accepted, Completed, <EOS>",2
1-694828073,"<BOS>, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Completed, <EOS>",16
1-694899814,"<BOS>, Queued, Accepted, Completed, <EOS>",3
1-694923791,"<BOS>, Accepted, Completed, <EOS>",2
1-695030407,"<BOS>, Accepted, Completed, <EOS>",2
1-695241661,"<BOS>, Accepted, Completed, <EOS>",2
1-695258011,"<BOS>, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",5
1-695309312,"<BOS>, Accepted, Completed, <EOS>",2
1-695316021,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-695425289,"<BOS>, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",5
1-695486321,"<BOS>, Accepted, Queued, Accepted, Queued, Accepted, Completed, <EOS>",6
1-695616474,"<BOS>, Accepted, Completed, <EOS>",2
1-695748265,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-695801720,"<BOS>, Accepted, Completed, <EOS>",2
1-695946177,"<BOS>, Accepted, Completed, <EOS>",2
1-696057890,"<BOS>, Accepted, Completed, <EOS>",2
1-696097603,"<BOS>, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Completed, <EOS>",12
1-696205828,"<BOS>, Accepted, Completed, <EOS>",2
1-696616111,"<BOS>, Accepted, Completed, <EOS>",2
1-696680265,"<BOS>, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Completed, <EOS>",8
1-696695427,"<BOS>, Accepted, Completed, <EOS>",2
1-696714411,"<BOS>, Queued, Queued, Accepted, Completed, <EOS>",4
1-696835891,"<BOS>, Queued, Accepted, Queued, Accepted, Completed, <EOS>",5
1-696839978,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-696881965,"<BOS>, Accepted, Completed, <EOS>",2
1-696990621,"<BOS>, Accepted, Completed, <EOS>",2
1-697041731,"<BOS>, Accepted, Accepted, Completed, Accepted, Completed, <EOS>",5
1-697249225,"<BOS>, Accepted, Completed, <EOS>",2
1-697260307,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-697366925,"<BOS>, Accepted, Completed, <EOS>",2
1-697379551,"<BOS>, Accepted, Completed, <EOS>",2
1-697458590,"<BOS>, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",11
1-697459701,"<BOS>, Accepted, Accepted, Queued, Accepted, Completed, <EOS>",5
1-697486903,"<BOS>, Accepted, Completed, <EOS>",2
1-697578650,"<BOS>, Accepted, Completed, <EOS>",2
1-697811404,"<BOS>, Accepted, Queued, Accepted, Completed, <EOS>",4
1-697987547,"<BOS>, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Completed, <EOS>",8
1-698044001,"<BOS>, Accepted, Queued, Accepted, Accepted, Accepted, Completed, <EOS>",6
1-698057087,"<BOS>, Accepted, Completed, <EOS>",2
1-698077265,"<BOS>, Accepted, Completed, <EOS>",2
1-698103331,"<BOS>, Accepted, Completed, <EOS>",2
1-698216063,"<BOS>, Accepted, Queued, Accepted, Accepted, Accepted, Completed, <EOS>",6
1-698267095,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-698293715,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-698346154,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-698481972,"<BOS>, Accepted, Completed, <EOS>",2
1-698524631,"<BOS>, Accepted, Completed, <EOS>",2
1-698751834,"<BOS>, Accepted, Accepted, Accepted, Completed, <EOS>",4
1-698754281,"<BOS>, Accepted, Queued, Accepted, Completed, <EOS>",4
1-698842669,"<BOS>, Accepted, Queued, Accepted, Accepted, Completed, Accepted, Completed, <EOS>",7
1-698998499,"<BOS>, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Completed, <EOS>",9
1-699010040,"<BOS>, Accepted, Completed, <EOS>",2
1-699103215,"<BOS>, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Completed, <EOS>",14
1-699140595,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-699140847,"<BOS>, Accepted, Completed, <EOS>",2
1-699345697,"<BOS>, Accepted, Completed, <EOS>",2
1-699370863,"<BOS>, Accepted, Completed, <EOS>",2
1-699397256,"<BOS>, Queued, Accepted, Completed, <EOS>",3
1-699661601,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Completed, <EOS>",8
1-699690829,"<BOS>, Accepted, Queued, Accepted, Completed, <EOS>",4
1-699737259,"<BOS>, Accepted, Completed, <EOS>",2
1-700362905,"<BOS>, Accepted, Completed, <EOS>",2
1-700498223,"<BOS>, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, <EOS>",19
1-700566882,"<BOS>, Accepted, Accepted, Accepted, Completed, Accepted, Completed, <EOS>",6
1-700746442,"<BOS>, Accepted, Queued, Accepted, Completed, <EOS>",4
1-700842031,"<BOS>, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",7
1-700896142,"<BOS>, Accepted, Completed, <EOS>",2
1-701042928,"<BOS>, Accepted, Completed, <EOS>",2
1-701429911,"<BOS>, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",5
1-701525462,"<BOS>, Accepted, Completed, <EOS>",2
1-701555158,"<BOS>, Accepted, Completed, <EOS>",2
1-701702621,"<BOS>, Accepted, Completed, <EOS>",2
1-701990311,"<BOS>, Accepted, Completed, <EOS>",2
1-702103380,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-702103398,"<BOS>, Accepted, Completed, <EOS>",2
1-702304430,"<BOS>, Accepted, Completed, <EOS>",2
1-702304580,"<BOS>, Accepted, Completed, <EOS>",2
1-702378632,"<BOS>, Accepted, Completed, <EOS>",2
1-702482271,"<BOS>, Accepted, Accepted, Accepted, Queued, Accepted, Completed, <EOS>",6
1-702501021,"<BOS>, Accepted, Queued, Accepted, Completed, <EOS>",4
1-702501138,"<BOS>, Accepted, Queued, Accepted, Queued, Accepted, Completed, <EOS>",6
1-702501532,"<BOS>, Accepted, Queued, Accepted, Completed, <EOS>",4
1-702514881,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-702656292,"<BOS>, Accepted, Completed, <EOS>",2
1-702673026,"<BOS>, Accepted, Queued, Accepted, Completed, <EOS>",4
1-703016242,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-703190797,"<BOS>, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Completed, <EOS>",12
1-703242211,"<BOS>, Queued, Accepted, Completed, <EOS>",3
1-703383433,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-703399394,"<BOS>, Accepted, Queued, Accepted, Completed, <EOS>",4
1-703445951,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-703540157,"<BOS>, Accepted, Queued, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Queued, Accepted, Completed, <EOS>",18
1-703856779,"<BOS>, Accepted, Accepted, Accepted, Completed, <EOS>",4
1-703964203,"<BOS>, Accepted, Queued, Accepted, Completed, <EOS>",4
1-703964563,"<BOS>, Accepted, Queued, Accepted, Completed, <EOS>",4
1-704226142,"<BOS>, Accepted, Completed, <EOS>",2
1-704229584,"<BOS>, Accepted, Completed, <EOS>",2
1-704229602,"<BOS>, Queued, Accepted, Completed, <EOS>",3
1-704650867,"<BOS>, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Completed, <EOS>",7
1-704661542,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Completed, <EOS>",6
1-704703712,"<BOS>, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",7
1-704725301,"<BOS>, Accepted, Completed, <EOS>",2
1-704973871,"<BOS>, Accepted, Queued, Accepted, Accepted, Accepted, Completed, <EOS>",6
1-704977245,"<BOS>, Accepted, Queued, Queued, Accepted, Queued, Accepted, Completed, <EOS>",7
1-705821921,"<BOS>, Accepted, Completed, <EOS>",2
1-705847575,"<BOS>, Accepted, Completed, <EOS>",2
1-706083257,"<BOS>, Accepted, Completed, <EOS>",2
1-706226212,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-706866666,"<BOS>, Accepted, Completed, <EOS>",2
1-706915611,"<BOS>, Accepted, Completed, <EOS>",2
1-706949124,"<BOS>, Accepted, Completed, <EOS>",2
1-706959641,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-706963013,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-706982877,"<BOS>, Accepted, Completed, <EOS>",2
1-706988783,"<BOS>, Accepted, Completed, <EOS>",2
1-707025161,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-707053152,"<BOS>, Accepted, Completed, <EOS>",2
1-707293328,"<BOS>, Accepted, Completed, <EOS>",2
1-707300171,"<BOS>, Accepted, Accepted, Queued, Queued, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",13
1-707623601,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-707660543,"<BOS>, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Completed, <EOS>",7
1-707693471,"<BOS>, Accepted, Completed, <EOS>",2
1-707704098,"<BOS>, Accepted, Completed, <EOS>",2
1-707708844,"<BOS>, Accepted, Completed, <EOS>",2
1-707778891,"<BOS>, Accepted, Completed, <EOS>",2
1-708121948,"<BOS>, Accepted, Queued, Accepted, Completed, <EOS>",4
1-708131711,"<BOS>, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Completed, <EOS>",7
1-708581207,"<BOS>, Accepted, Completed, <EOS>",2
1-708582598,"<BOS>, Accepted, Completed, <EOS>",2
1-708613661,"<BOS>, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",5
1-708716045,"<BOS>, Accepted, Completed, <EOS>",2
1-708833963,"<BOS>, Accepted, Completed, <EOS>",2
